assets_id,identifier,Sony Ci
3558035,cpb-aacip/309-4947dd8g,3483cfb28aab4cd8ada26e917c085d1d
3558218,cpb-aacip/309-579s4t00,abe7a24c0c1844e7a79c3d6da577e2a7
3074092,cpb-aacip/86-13mw6p1w,bd07db50cd5a4e72a455bc789382f9f0
1751893,cpb-aacip/398-8279d0k6,acef59a909154c22b0c680561bf279c5
4888094,cpb-aacip/43-7d2q52fk36,c9da9f3fad2248c7823ccc0f783072dd
2025343,cpb-aacip/43-214mwkfw,92844152f3044baabbdb9b144e61f046
4910213,cpb-aacip/15-r785h7ck9x,8754e78b043a4b76aa861044eda8b6cf
4894287,cpb-aacip/16-707wm14178,3cd70c5ec5ce472b9088db8bc2ced730
4910570,cpb-aacip/15-mp4vh5d451,a7a680656b264a74b1734705909e514d
4857069,cpb-aacip/15-7940r9m92c,1c142861ae904a459ac6daccd858106a
1051892,cpb-aacip/29-40ksn49j,25fc8556ffae46a19ab6e249f1d7cd89
1714334,cpb-aacip/131-902z3f4r,61830ac26c5245f695cb11ad7e96c2b9
1830795,cpb-aacip/75-89r22tdf,413e7b5da723441084b796d9b30229cb
744495,cpb-aacip/187-79v15rdg,4a02ee80714b44a7a8f663e9487a0e6e
4890457,cpb-aacip/29-5m6251fw0p,dbff40f9837f4e42bcf860de8eac97c6
4709199,cpb-aacip/259-p26q2q18,2faf51ba5a7048e0ad23400387f9f6eb
3287409,cpb-aacip/23-03qv9tbn,1c11e84976754f599b29441810dfb40f
1955620,cpb-aacip/80-67jq309d,249daf2f92d74a468e098c6b6d1fe6cf
4841116,cpb-aacip/500-mc8rgt3b,18f4b5b5b9164902b24da1df2b90dd64
4855414,cpb-aacip/15-251fj29c9g,2e52ad25ba8f4b018e9272ce08b4d49d
1984608,cpb-aacip/41-451g1q8r,0c2168f8646c41a08f267acfe9ea4a79
4911574,cpb-aacip/15-x05x63bw4n,c15b48a9fa6b46ae9e1ed1ac3d37b9e2
4846168,cpb-aacip/500-g15tc893,2daed472187b46b0b7f53513c46b1b11
89446,cpb-aacip/189-20sqvcwq,0f13091e55c4479fa070ae2050cf4923
3483075,cpb-aacip/30-7312kjg4,ed937ab32e5c45a9a047f03c0b73d35e
1992060,cpb-aacip/41-57np5vrg,26cfc35e60b249e690818f0ee9303759
4846998,cpb-aacip/500-7659hj6r,bb0c061a814246dcbd5065822df1263b
1883902,cpb-aacip/398-956djt89,8bd691f58cba43a784aa4e3691db9503
748199,cpb-aacip/187-65h9wb3t,3f13dda3f9404b398e0965353102a41b
